iter	MultiClass
0	1.316918867
1	1.25445262
2	1.206768257
3	1.164009157
4	1.122244683
5	1.084786953
6	1.053864102
7	1.026749069
8	1.003996742
9	0.9838395215
10	0.9628691255
11	0.9457489111
12	0.9302774722
13	0.9161575278
14	0.90248402
15	0.8882153435
16	0.8759019741
17	0.8619969766
18	0.8488302599
19	0.8396124513
20	0.8284733304
21	0.8205240524
22	0.8117619156
23	0.8048475602
24	0.7982433735
25	0.7903396436
26	0.7847190302
27	0.7791189652
28	0.7727528221
29	0.7669238227
30	0.7615994235
31	0.755275888
32	0.7518046331
33	0.7474694713
34	0.7426349951
35	0.7369974823
36	0.733478629
37	0.7290340045
38	0.7236471674
39	0.7197757535
40	0.7152648171
41	0.710703984
42	0.7064107377
43	0.7026268398
44	0.6980223825
45	0.6951232307
46	0.6920789017
47	0.6871731648
48	0.6850898343
49	0.6823779935
50	0.6785437884
51	0.6755486099
52	0.6726287767
53	0.670640611
54	0.6669844953
55	0.6645931829
56	0.6601055419
57	0.6561552654
58	0.6523859901
59	0.6494360339
60	0.6462326668
61	0.6436450117
62	0.6408432872
63	0.6385401801
64	0.6366529826
65	0.6337084985
66	0.6307466746
67	0.6291370743
68	0.6272218637
69	0.6252905702
70	0.622071942
71	0.618862313
72	0.6157297648
73	0.6135608011
74	0.6109713654
75	0.608635756
76	0.6056656091
77	0.6042377007
78	0.6025861814
79	0.6005503704
80	0.5976767436
81	0.5958018667
82	0.5940204425
83	0.5912374932
84	0.5890254745
85	0.5867473516
86	0.5857585844
87	0.5840902115
88	0.5821060659
89	0.580440636
90	0.5794637406
91	0.5779471673
92	0.5758150885
93	0.5730220705
94	0.5717751056
95	0.5697339603
96	0.5677614011
97	0.5658381632
98	0.5642910341
99	0.5614167814
100	0.5590764124
101	0.5577913265
102	0.5557724116
103	0.5542136464
104	0.5521382024
105	0.5511042729
106	0.5497488759
107	0.5471290929
108	0.5449224111
109	0.5438064219
110	0.54269519
111	0.5402074205
112	0.5381996654
113	0.5366268613
114	0.5346918797
115	0.5334201636
116	0.5321970701
117	0.5303169867
118	0.52800178
119	0.5268318786
120	0.5254326726
121	0.5239812021
122	0.5230291514
123	0.5223712928
124	0.5208759844
125	0.5184528855
126	0.5177846775
127	0.5165652258
128	0.5153230285
129	0.5142548701
130	0.5130182248
131	0.5115344522
132	0.5105337438
133	0.509819858
134	0.5080053169
135	0.5068525104
136	0.5052710103
137	0.5040039862
138	0.5028305831
139	0.5023033457
140	0.5000661902
141	0.4983173441
142	0.4961291068
143	0.4951270294
144	0.4923270634
145	0.4915446527
146	0.4908551286
147	0.4894415521
148	0.4883972055
149	0.4866988329
150	0.4855157911
151	0.4845937067
152	0.4837140835
153	0.4823108106
154	0.4812632106
155	0.4798068913
156	0.4779103999
157	0.4762494256
158	0.4749186933
159	0.4739473664
160	0.4734113127
161	0.4714661902
162	0.4696003969
163	0.4682363953
164	0.4667249764
165	0.4655756567
166	0.4650262463
167	0.4644038298
168	0.4633838642
169	0.4619613716
170	0.4605315774
171	0.4594754075
172	0.4589493969
173	0.4569407668
174	0.4562979572
175	0.4556995161
176	0.4539977536
177	0.4530174847
178	0.4512847131
179	0.45004037
180	0.4486402689
181	0.4471275938
182	0.4466339056
183	0.4454075354
184	0.4445998106
185	0.4428998533
186	0.4417857185
187	0.4411900582
188	0.4396452159
189	0.4391100847
190	0.4382122682
191	0.4362134532
192	0.4346740434
193	0.4333577401
194	0.43239757
195	0.4318685488
196	0.4310885425
197	0.4303524199
198	0.4293389719
199	0.4289817941
200	0.4276840648
201	0.4257086309
202	0.4243354564
203	0.4238263381
204	0.4223466095
205	0.421484129
206	0.4197727087
207	0.4180736316
208	0.4173012748
209	0.416019637
210	0.415313142
211	0.414276266
212	0.4130970006
213	0.4124221948
214	0.4117419771
215	0.4107685923
216	0.409478025
217	0.4083129117
218	0.4071216172
219	0.4054311457
220	0.4037713908
221	0.4024565419
222	0.4012641787
223	0.4003547955
224	0.3995204973
225	0.3981822743
226	0.3971491453
227	0.3966154629
228	0.3956936563
229	0.3948500188
230	0.3939095325
231	0.3929894318
232	0.3922734627
233	0.3909373615
234	0.3905440751
235	0.3892386963
236	0.3883526917
237	0.3874999075
238	0.3857051273
239	0.3845459346
240	0.3834959152
241	0.3822569189
242	0.3807662455
243	0.3799318746
244	0.3790172574
245	0.3774080444
246	0.3767853413
247	0.3760112989
248	0.3750618404
249	0.3741050874
250	0.3735523699
251	0.372981476
252	0.3724011349
253	0.3714868733
254	0.3702185272
255	0.3692805775
256	0.3685571608
257	0.3675622507
258	0.3670991308
259	0.3661793188
260	0.3651227312
261	0.3642236794
262	0.3628435938
263	0.361573185
264	0.361144229
265	0.3602915439
266	0.3600114513
267	0.3596541938
268	0.3590341409
269	0.3580549145
270	0.357148679
271	0.35680493
272	0.3557896874
273	0.3546446235
274	0.353815018
275	0.3530380395
276	0.3526758365
277	0.3514342858
278	0.3507918967
279	0.3501048378
280	0.348560777
281	0.3478298357
282	0.346984753
283	0.345517912
284	0.3446438955
285	0.3438966124
286	0.3432394753
287	0.34241881
288	0.341675531
289	0.3409957795
290	0.3404961051
291	0.3397901378
292	0.339188233
293	0.3379239006
294	0.3367362331
295	0.3357383655
296	0.3353641065
297	0.3343488598
298	0.3333738955
299	0.3322699259
300	0.3315383473
301	0.3304275971
302	0.3291976217
303	0.3279939136
304	0.3268178558
305	0.3262926493
306	0.325797248
307	0.324695019
308	0.323612574
309	0.3228084536
310	0.3221045587
311	0.321567064
312	0.3212658121
313	0.3205379731
314	0.3193231955
315	0.3186445246
316	0.3180004354
317	0.3174368717
318	0.3167016537
319	0.3158499035
320	0.3153831417
321	0.3148265791
322	0.3144227187
323	0.3140172377
324	0.3133444596
325	0.3124042787
326	0.3119728094
327	0.311379624
328	0.3110561875
329	0.3101540371
330	0.3092525562
331	0.308426935
332	0.3078116056
333	0.3070047591
334	0.3064657353
335	0.3060207392
336	0.3054258805
337	0.3048970272
338	0.3044761492
339	0.3034752076
340	0.3022819174
341	0.3018348056
342	0.3014807403
343	0.30035592
344	0.2991295283
345	0.2980887183
346	0.2976705805
347	0.29695735
348	0.2958370148
349	0.2954292756
350	0.294987345
351	0.2943673376
352	0.2937960696
353	0.2932907646
354	0.2927660896
355	0.2918054288
356	0.2910554439
357	0.2906282827
358	0.2902110397
359	0.2895219649
360	0.2891197806
361	0.2887486831
362	0.2879326092
363	0.2874554088
364	0.2868450988
365	0.2865465926
366	0.2862800577
367	0.2855852936
