iter	Passed	Remaining
0	8	8364
1	15	7724
2	24	8011
3	31	7833
4	40	8131
5	49	8154
6	57	8201
7	66	8210
8	74	8214
9	82	8181
10	90	8145
11	99	8165
12	107	8144
13	115	8114
14	123	8088
15	131	8066
16	139	8088
17	151	8274
18	162	8415
19	174	8541
20	184	8615
21	196	8713
22	207	8817
23	218	8879
24	229	8946
25	240	9016
26	252	9096
27	263	9160
28	274	9206
29	286	9259
30	296	9281
31	308	9317
32	320	9377
33	331	9408
34	342	9454
35	355	9523
36	366	9535
37	377	9563
38	389	9595
39	401	9636
40	412	9647
41	423	9653
42	434	9669
43	445	9684
44	456	9696
45	468	9714
46	479	9729
47	491	9749
48	502	9752
49	513	9761
50	525	9771
51	536	9778
52	548	9794
53	559	9800
54	570	9802
55	581	9804
56	592	9809
57	603	9797
58	614	9793
59	625	9793
60	636	9797
61	647	9796
62	659	9807
63	670	9806
64	681	9806
65	693	9811
66	704	9808
67	715	9806
68	727	9811
69	738	9805
70	747	9776
71	758	9774
72	769	9770
73	780	9765
74	791	9761
75	803	9764
76	814	9761
77	825	9751
78	835	9745
79	846	9740
80	857	9734
81	869	9729
82	880	9729
83	892	9733
84	904	9731
85	915	9727
86	926	9723
87	938	9730
88	950	9729
89	961	9722
90	973	9719
91	984	9717
92	996	9718
93	1008	9715
94	1020	9717
95	1031	9712
96	1042	9705
97	1053	9701
98	1065	9697
99	1076	9685
100	1086	9674
101	1098	9668
102	1109	9663
103	1121	9661
104	1132	9654
105	1143	9643
106	1154	9634
107	1165	9630
108	1177	9623
109	1188	9613
110	1199	9607
111	1210	9599
112	1224	9608
113	1235	9603
114	1247	9598
115	1259	9597
116	1270	9586
117	1281	9576
118	1294	9585
119	1305	9573
120	1317	9567
121	1328	9563
122	1341	9564
123	1353	9562
124	1361	9527
125	1370	9505
126	1378	9473
127	1386	9448
128	1394	9416
129	1402	9384
130	1409	9352
131	1419	9331
132	1426	9300
133	1436	9281
134	1443	9251
135	1454	9237
136	1463	9218
137	1471	9188
138	1481	9179
139	1489	9149
140	1498	9130
141	1506	9102
142	1515	9082
143	1523	9055
144	1531	9032
145	1540	9011
146	1548	8987
147	1556	8960
148	1564	8936
149	1572	8909
150	1580	8886
151	1588	8862
152	1596	8838
153	1603	8811
154	1611	8787
155	1621	8774
156	1630	8755
157	1637	8729
158	1645	8704
159	1654	8687
160	1663	8666
161	1670	8641
162	1679	8624
163	1687	8600
164	1695	8578
165	1702	8554
166	1712	8543
167	1721	8523
168	1730	8507
169	1739	8493
170	1747	8470
171	1757	8459
172	1765	8438
173	1773	8419
174	1781	8398
175	1790	8380
176	1798	8364
177	1807	8345
178	1815	8326
179	1823	8306
180	1831	8286
181	1839	8268
182	1847	8248
183	1855	8229
184	1866	8220
185	1876	8210
186	1885	8197
187	1893	8176
188	1903	8166
